번호,기간,고급휘발유,휘발유,경유,실내등유
A0006572,20260629,2490,1999,1977,1750
A0006660,20260629,2509,1954,1924,0
A0006497,20260629,0,2014,1999,0
A0001923,20260629,0,1968,1968,0
A0001962,20260629,0,1883,1884,1600
A0001955,20260629,2357,1937,1929,0
A0001191,20260629,0,1894,1884,0
A0001917,20260629,2509,2034,2019,1620
A0001969,20260629,2493,2004,1999,0
A0002542,20260629,0,1875,1875,0
A0001977,20260629,0,1847,1847,0
A0001911,20260629,0,1878,1878,0
A0001942,20260629,0,1894,1884,0
A0001966,20260629,0,1893,1883,0
A0001943,20260629,0,1883,1884,0
A0033703,20260629,2409,1898,1898,0
A0001982,20260629,0,1999,1999,0
A0033216,20260629,0,1999,1994,0
A0007776,20260629,2430,1868,1856,1630
A0007934,20260629,2294,1868,1856,1500
A0007554,20260629,0,1884,1884,0
A0007907,20260629,0,1975,1939,1650
A0007753,20260629,0,1876,1876,0
A0001601,20260629,0,1884,1884,0
A0008098,20260629,2369,1869,2049,0
A0007874,20260629,0,1959,1939,0
A0008035,20260629,2369,1869,1869,0
A0007957,20260629,0,1949,1929,1690
A0007853,20260629,0,1868,1856,1630
A0019433,20260629,0,1868,1856,0
A0001756,20260629,2287,1868,1856,0
A0009878,20260629,0,1973,1959,0
A0007710,20260629,2399,1869,1869,0
A0007956,20260629,2434,1972,1895,0
A0007685,20260629,2372,1869,1869,1580
A0007739,20260629,0,1947,1935,1550
A0007556,20260629,0,1896,1884,1525
A0007579,20260629,0,1995,1995,1700
A0007780,20260629,2294,1895,1895,0
A0033213,20260629,0,1868,1856,0
A0033493,20260629,0,1978,1975,0
A0033000,20260629,0,1970,1950,0
A0033481,20260629,2287,1868,1856,0
A0033565,20260629,0,1859,1849,0
A0007597,20260629,0,1939,1899,1630
A0007750,20260629,2385,1937,1937,1700
A0005804,20260629,0,1978,1948,0
A0032928,20260629,2389,1884,1884,0
A0011949,20260629,0,1884,1873,1550
A0011942,20260629,2294,1895,1895,0
A0008082,20260629,2287,1958,1928,0
A0008039,20260629,2538,2147,2137,0
A0007571,20260629,2375,1868,1856,0
A0007573,20260629,0,1873,1863,1700
A0007830,20260629,0,1868,1846,1500
A0007613,20260629,0,1973,1968,1600
A0007738,20260629,0,1947,1948,1650
A0033221,20260629,2385,1929,1929,0
A0008057,20260629,2385,1937,1929,1600
A0007637,20260629,0,1975,1939,1650
A0007931,20260629,0,1895,1895,0
A0007692,20260629,0,1979,1939,1650
A0013033,20260629,0,1959,1938,1600
A0007840,20260629,0,1868,1856,1630
A0007650,20260629,0,1876,1876,0
A0011944,20260629,0,1846,1846,0
A0000484,20260629,2287,1899,1894,0
A0001593,20260629,0,1899,1859,0
A0007740,20260629,0,1958,1888,1688
A0007631,20260629,0,1998,1895,1650
A0007833,20260629,0,1895,1895,0
A0011950,20260629,2385,1969,1939,0
A0007872,20260629,0,1959,1895,0
A0008458,20260629,0,1895,1895,1640
A0007791,20260629,2438,1995,1968,1700
A0008021,20260629,0,1974,1964,1650
A0008018,20260629,0,1979,1969,1650
A0033061,20260629,0,1979,1969,1650
A0007634,20260629,0,1957,1936,1600
A0000869,20260629,0,1997,1877,0
A0007578,20260629,0,1975,1978,0
A0007855,20260629,0,1998,1948,0
A0007572,20260629,0,2019,1989,1700
A0007935,20260629,0,1985,1936,1650
A0005889,20260629,0,1996,1969,0
A0011946,20260629,0,1895,1895,0
A0006286,20260629,0,1959,1938,0
A0007870,20260629,0,2015,1964,1650
A0007577,20260629,0,1987,1977,0
A0007912,20260629,0,2099,2099,0
A0033702,20260629,2530,1891,1912,0
A0033729,20260629,0,1859,1849,0
A0006158,20260629,0,1959,1938,1600
A0007889,20260629,0,1995,1995,1650
A0007581,20260629,0,1964,1953,0
A0008084,20260629,2287,1928,1928,0
A0007955,20260629,0,1848,1848,0
A0011945,20260629,0,1848,1848,0
A0033427,20260629,0,1979,1978,0
A0006697,20260629,0,1895,1895,0
A0033388,20260629,2320,1904,1894,0
A0007821,20260629,0,2015,1998,1700
A0008100,20260629,2385,1969,1938,0
A0006649,20260629,0,1899,1899,0
A0006826,20260629,0,1919,1919,0
A0006821,20260629,2269,1879,1869,1520
A0010050,20260629,0,1897,1895,0
A0033404,20260629,0,1990,1970,0
A0006669,20260629,0,1980,1995,1600
A0006748,20260629,2450,2010,2000,1600
