번호,지역,상호,주소,기간,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0005542,경기 고양시,KH에너지㈜직영 KH기쁨주유소,경기 고양시 일산동구 고양대로 1064,20260629,SK에너지,셀프,0,1844,1844,1700
A0005154,경기 고양시,KH에너지㈜직영 가나주유소,경기 고양시 덕양구 호국로 1941 (벽제동),20260629,SK에너지,셀프,2264,1844,1844,0
A0005326,경기 고양시,KH에너지㈜직영 애니골2주유소,경기 고양시 일산동구 무궁화로 304 (풍동),20260629,SK에너지,셀프,0,1844,1844,0
A0005391,경기 고양시,KH에너지㈜직영 애니골주유소,경기 고양시 일산동구 무궁화로 307,20260629,SK에너지,셀프,2264,1844,1844,0
A0005440,경기 고양시,SJ오일(주) 일산주유소,경기 고양시 일산서구 고양대로 535 (대화동),20260629,GS칼텍스,일반,2538,1989,1976,0
A0011917,경기 고양시,SK부광주유소 원당점,경기 고양시 덕양구 원당로 433 (원당동),20260629,SK에너지,일반,0,1944,1948,0
A0005161,경기 고양시,SK섬마을주유소,경기 고양시 덕양구 호수로 237,20260629,SK에너지,셀프,0,1847,1847,0
A0005511,경기 고양시,SK에너지(주) 백마주유소,경기 고양시 일산동구 중앙로 990 (백석동),20260629,SK에너지,셀프,2399,1849,1799,0
A0011919,경기 고양시,SK화정주유소,경기 고양시 덕양구 호국로 430(토당동),20260629,SK에너지,셀프,2433,1971,1961,1650
A0033510,경기 고양시,㈜나이스디앤에스 고양(문산방향)주유소/충전소,경기 고양시 덕양구 수원문산고속도로 52,20260629,GS칼텍스,셀프,0,1990,1988,0
A0033509,경기 고양시,㈜나이스디앤에스 고양(서울방향)주유소/충전소,경기 고양시 덕양구 수원문산고속도로 51,20260629,GS칼텍스,셀프,0,1990,1988,0
A0005163,경기 고양시,㈜너멍골,경기 고양시 덕양구 호국로 1259,20260629,S-OIL,셀프,0,1844,1844,1600
A0005546,경기 고양시,㈜라인에너지 덕이주유소,경기 고양시 일산서구 송산로 591 (덕이동),20260629,HD현대오일뱅크,셀프,2279,1895,1885,1590
A0005579,경기 고양시,㈜럭키주유소,경기 고양시 일산동구 성현로 58,20260629,HD현대오일뱅크,셀프,0,1971,1844,0
A0005504,경기 고양시,㈜명주 직영 탄현셀프주유소,경기 고양시 일산서구 경의로 829 (덕이동),20260629,HD현대오일뱅크,셀프,2279,1887,1882,0
A0005525,경기 고양시,㈜보성중산주유소,경기 고양시 일산동구 고양대로 834 (중산동),20260629,SK에너지,셀프,2264,1844,1844,0
A0005533,경기 고양시,㈜삼표에너지 동해주유소,경기 고양시 덕양구 중앙로 110,20260629,GS칼텍스,셀프,2454,1994,1962,0
